"h Silverman:  0.745063313301519"
"radius"	"intCrit"
0.6	NaN
1.2	NaN
1.8	NaN
2.4	NaN
3	NaN
3.6	NaN
4.2	NaN
4.8	NaN
5.4	NaN
6	NaN
6.6	NaN
7.2	NaN
7.8	NaN
8.4	NaN
9	NaN
9.6	0.149448852534537
10.2	0.143108852649547
10.8	0.150169400156322
11.4	0.158855762184274
12	0.166461422356788
12.6	0.174210140275829
13.2	0.176876782348388
13.8	0.199867066581827
14.4	0.196557004395469
15	0.200685770281158
15.6	0.197013313400914
16.2	0.219163008180509
16.8	0.229787933568772
17.4	0.19830023934557
18	0.197136627110325
