"h Silverman:  1.02607785760761"
"radius"	"intCrit"
0.2	NaN
0.4	NaN
0.6	NaN
0.8	NaN
1	NaN
1.2	NaN
1.4	NaN
1.6	NaN
1.8	NaN
2	NaN
2.2	NaN
2.4	NaN
2.6	NaN
2.8	NaN
3	NaN
3.2	NaN
3.4	NaN
3.6	NaN
3.8	NaN
4	NaN
4.2	NaN
4.4	NaN
4.6	NaN
4.8	NaN
5	NaN
5.2	NaN
5.4	NaN
5.6	NaN
5.8	NaN
6	NaN
6.2	NaN
6.4	NaN
6.6	NaN
6.8	NaN
7	NaN
7.2	NaN
7.4	NaN
7.6	NaN
7.8	NaN
8	NaN
8.2	NaN
8.4	NaN
8.6	NaN
8.8	NaN
9	NaN
9.2	NaN
9.4	NaN
9.6	NaN
9.8	NaN
10	NaN
10.2	0.177475925335825
10.4	0.177081720248505
10.6	0.180698698096762
10.8	NaN
11	0.183466240445397
11.2	0.17444715932428
11.4	0.17444715932428
11.6	0.177179985893623
11.8	0.177179985893623
12	0.172406268271144
12.2	0.173810032125032
12.4	0.173647640331495
12.6	0.179659177605217
12.8	0.192145228165021
13	0.196222927069792
13.2	0.216968638788453
13.4	0.208850928858428
13.6	0.200467803526002
13.8	0.189483510687552
14	0.188136261013348
14.2	0.188136261013348
14.4	0.188136261013348
14.6	0.188136261013348
14.8	0.196082458815038
15	0.196082458815038
15.2	0.204721668741186
15.4	0.20642446704782
15.6	0.204895206441882
15.8	0.200719180855633
16	0.200719180855633
16.2	0.200719180855633
16.4	0.209793600488075
16.6	0.209793600488075
16.8	0.232063073473359
17	0.232063073473359
17.2	0.232063073473359
